"province","area","language_pair_collapsed","percent_bilingual_children_age_0_to_4","percent_bilingual_children_age_5_to_9","percent_bilingual_children_age_0_to_9","percent_all_children_age_0_to_4","percent_all_children_age_5_to_9","percent_all_children_age_0_to_9"
"Quebec","Sherbrooke – Trois-Rivières","French & Other",40,32,35.8,3.8,3,3.4
"Quebec","Sherbrooke – Trois-Rivières","English & Other",4.4,2,3.2,0.4,0.2,0.3
"Ontario","Brantford – Guelph – Barrie","English & French",26.7,41.2,35.2,2.2,4.4,3.3
"Ontario","Brantford – Guelph – Barrie","English & Other",68.3,57.6,62.1,5.5,6.1,5.8
"Ontario","Brantford – Guelph – Barrie","French & Other",1.7,1.2,1.4,0.1,0.1,0.1
"Ontario","Brantford – Guelph – Barrie","Other & Other",3.3,NA,1.4,0.3,NA,0.1
"Ontario","Greater Sudbury - Thunder Bay","English & French",77.6,80.9,79.7,9.8,20,14.8
"Ontario","Greater Sudbury - Thunder Bay","English & Other",18.4,16,16.8,2.3,3.9,3.1
"Ontario","Greater Sudbury - Thunder Bay","French & Other",4.1,3.2,3.5,0.5,0.8,0.7
"Ontario","Hamilton","English & French",9,22.4,16.3,1.1,3.5,2.3
"Ontario","Hamilton","Arabic & English",9.8,8.1,8.8,1.2,1.3,1.2
"Ontario","Hamilton","English & Other",79.7,65.2,71.8,10,10.1,10.1
"Ontario","Hamilton","French & Other",1.5,3.1,2.4,0.2,0.5,0.3
"Ontario","Hamilton","Other & Other",NA,1.2,0.7,NA,0.2,0.1
"Ontario","Kingston – Peterborough","English & French",40.7,61.1,52.4,2.8,5.7,4.3
"Ontario","Kingston – Peterborough","English & Other",55.6,38.9,46,3.9,3.7,3.8
"Ontario","Kingston – Peterborough","Other & Other",3.7,NA,1.6,0.3,NA,0.1
"Ontario","Kitchener – Cambridge – Waterloo","English & French",9,19.3,15.4,1,3.1,2.1
"Ontario","Kitchener – Cambridge – Waterloo","English & Other",87.6,75.9,80.3,9.3,12.4,10.9
"Ontario","Kitchener – Cambridge – Waterloo","French & Other",2.2,4.1,3.4,0.2,0.7,0.5
"Ontario","Kitchener – Cambridge – Waterloo","Other & Other",1.1,0.7,0.9,0.1,0.1,0.1
"Ontario","London","English & French",16.5,30,24.4,2.1,5,3.6
"Ontario","London","Arabic & English",13.2,10,11.3,1.6,1.7,1.7
"Ontario","London","English & Other",67,54.6,59.7,8.3,9.1,8.7
"Ontario","London","French & Other",3.3,4.6,4.1,0.4,0.8,0.6
"Ontario","London","Other & Other",NA,0.8,0.5,NA,0.1,0.1
"Ontario","Oshawa","English & French",20.4,38.1,30.4,1.8,4,2.9
"Ontario","Oshawa","English & Other",75.5,57.1,65.2,6.6,6,6.3
"Ontario","Oshawa","French & Other",4.1,4.8,4.5,0.4,0.5,0.4
"Ontario","Ottawa","English & French",45.6,52.4,49.8,12.7,22.2,17.6
"Ontario","Ottawa","Arabic & English",8.4,7.3,7.7,2.3,3.1,2.7
"Ontario","Ottawa","English & Other",34.5,28.9,31,9.6,12.2,11
"Ontario","Ottawa","French & Other",11.1,11.1,11.1,3.1,4.7,3.9
"Ontario","Ottawa","Other & Other",0.5,0.3,0.4,0.1,0.1,0.1
"Ontario","St. Catharines – Niagara","English & French",30.8,39.1,35.9,2.3,4.7,3.5
"Ontario","St. Catharines – Niagara","English & Other",66.7,56.2,60.2,5.1,6.8,5.9
"Ontario","St. Catharines – Niagara","French & Other",NA,3.1,1.9,NA,0.4,0.2
"Ontario","St. Catharines – Niagara","Other & Other",2.6,1.6,1.9,0.2,0.2,0.2
"Ontario","Toronto","English & French",5.8,10.5,8.6,1.5,3.7,2.6
"Ontario","Toronto","English & Urdu",6.7,7.4,7.1,1.7,2.6,2.2
"Ontario","Toronto","English & Punjabi",6.3,6.7,6.5,1.6,2.3,2
"Ontario","Toronto","English & Mandarin",6.5,5.7,6,1.7,2,1.8
"Ontario","Toronto","English & Tamil",4.9,4.1,4.4,1.3,1.4,1.4
"Ontario","Toronto","English & Other",66.5,61.1,63.3,17.1,21.3,19.3
"Ontario","Toronto","French & Other",1.8,3.2,2.6,0.5,1.1,0.8
"Ontario","Toronto","Other & Other",1.4,1.3,1.3,0.4,0.4,0.4
"Ontario","Windsor","English & French",18.2,37.5,30.5,3.1,10.3,6.9
"Ontario","Windsor","Arabic & English",10.4,10.3,10.3,1.8,2.8,2.3
"Ontario","Windsor","English & Other",67.5,46.3,54,11.7,12.8,12.2
"Ontario","Windsor","French & Other",2.6,4.4,3.8,0.4,1.2,0.9
"Ontario","Windsor","Other & Other",1.3,1.5,1.4,0.2,0.4,0.3
"Manitoba","Winnipeg","English & French",20.5,20.9,20.7,3.4,4.2,3.8
"Manitoba","Winnipeg","English & Tagalog",15.4,12.3,13.7,2.6,2.5,2.5
"Manitoba","Winnipeg","English & Punjabi",7.7,6.8,7.2,1.3,1.4,1.3
"Manitoba","Winnipeg","English & Other",53.3,55.7,54.7,8.9,11.3,10.1
"Manitoba","Winnipeg","Other & Other",2.1,2.1,2.1,0.3,0.4,0.4
"Manitoba","Winnipeg","French & Other",1,2.1,1.6,0.2,0.4,0.3
"Saskatchewan","Regina – Saskatoon","English & French",4.2,20.8,14.6,0.5,3.5,2
"Saskatchewan","Regina – Saskatoon","English & Urdu",11.6,11.3,11.4,1.2,1.9,1.6
"Saskatchewan","Regina – Saskatoon","English & Tagalog",10.5,9.4,9.8,1.1,1.6,1.4
"Saskatchewan","Regina – Saskatoon","English & Other",68.4,55.3,60.2,7.3,9.3,8.3
"Saskatchewan","Regina – Saskatoon","French & Other",2.1,1.9,2,0.2,0.3,0.3
"Saskatchewan","Regina – Saskatoon","Other & Other",3.2,1.3,2,0.3,0.2,0.3
"Alberta","Calgary","English & French",6.2,15,11.5,1.1,3.8,2.5
"Alberta","Calgary","English & Punjabi",7.6,8.8,8.4,1.4,2.2,1.8
"Alberta","Calgary","English & Urdu",7.6,5.4,6.3,1.4,1.4,1.4
"Alberta","Calgary","English & Other",74.9,66.4,69.8,13.3,16.8,15.1
"Alberta","Calgary","French & Other",1.7,2.7,2.3,0.3,0.7,0.5
"Alberta","Calgary","Other & Other",1.9,1.7,1.8,0.3,0.4,0.4
"Alberta","Edmonton","English & French",7.8,14.3,11.2,1.4,2.9,2.1
"Alberta","Edmonton","Arabic & English",8,8.3,8.2,1.4,1.7,1.5
"Alberta","Edmonton","English & Tagalog",7.8,5.2,6.4,1.4,1.1,1.2
"Alberta","Edmonton","English & Other",72.7,69.5,71.1,12.8,14.2,13.5
"Alberta","Edmonton","French & Other",2.4,1.8,2.1,0.4,0.4,0.4
"Alberta","Edmonton","Other & Other",1.2,0.9,1.1,0.2,0.2,0.2
"British Columbia","Kelowna – Abbotsford","English & Punjabi",44.8,54.4,50,6,7.9,7
"British Columbia","Kelowna – Abbotsford","English & French",10.4,16.5,13.7,1.4,2.4,1.9
"British Columbia","Kelowna – Abbotsford","English & Other",43.3,29.1,35.6,5.8,4.2,5
"British Columbia","Kelowna – Abbotsford","French & Other",1.5,NA,0.7,0.2,NA,0.1
"British Columbia","Vancouver","English & Mandarin",16.4,10.9,13.3,4.2,3.5,3.8
"British Columbia","Vancouver","English & Punjabi",10.7,13.7,12.4,2.7,4.4,3.6
"British Columbia","Vancouver","English & French",4.4,10.5,7.9,1.1,3.3,2.3
"British Columbia","Vancouver","Cantonese & English",7.4,6.1,6.6,1.9,1.9,1.9
"British Columbia","Vancouver","English & Other",57.6,55.6,56.5,14.6,17.7,16.2
"British Columbia","Vancouver","Other & Other",2.5,1.2,1.8,0.6,0.4,0.5
"British Columbia","Vancouver","French & Other",1,2,1.6,0.3,0.6,0.4
"British Columbia","Victoria","English & French",16.7,48.3,34.3,1.9,6.6,4.2
"British Columbia","Victoria","English & Other",77.1,48.3,61.1,8.6,6.6,7.6
"British Columbia","Victoria","French & Other",4.2,3.3,3.7,0.5,0.5,0.5
"British Columbia","Victoria","Other & Other",2.1,NA,0.9,0.2,NA,0.1
